Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
16,1.0,0.0,0.0,0.0,0.0,30.0,755.0,0.0,31.507000000000016,0.0,0.0,89.10756182670593,,,,,,,,,0.69721127,0.52774584,1.8136463,0.25042403,,,,,7.340385,4.906698,24.288364,1.0999063,3.0906391553362154,2.2051504121630483,5.6990914086795845,0.001,2.182635,0.0,2.182635,2.182635,-1.1763952578809607e-16,1.0,1.458493669024928,-1.650220595748196,-0.06567094,0.014494416,-0.027454503,-0.10873972,0.7409546,0.517741,1.8359008,0.30951378,-0.021908116,0.0120091755,-0.00034204667,-0.037263356,3.087969298992284,1.884907836428093,5.824954388271297,-0.005558422629617393,0.013846373,0.0,0.013846373,0.013846373,0.9954906,0.16129023,1.5057689,0.6865911,0.990453,0.14947373,1.2,0.8
17,1.0,0.0,0.0,33.0,1.0,33.0,788.0,0.0,31.10900000000002,0.0,0.0,95.37937378883362,,,,,,,,,,,,,,,,,,,,,2.765751142329662,2.0812039777752833,5.949869599901462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,0.0,99.0,2.0,66.0,854.0,0.0,63.108000000000025,0.0,0.0,100.10672330856323,,,,,,,,,,,,,,,,,,,,,3.004303153084855,1.5953701645183755,5.511443435734519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,143.0,3.0,44.0,898.0,0.0,51.70799999999999,0.0,0.0,103.49997687339783,,,,,,,,,,,,,,,,,,,,,3.608407839200129,2.2530335509998256,5.9589284856434945,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,179.0,4.0,36.0,934.0,0.0,32.80899999999999,0.0,0.0,106.21737813949585,,,,,,,,,,,,,,,,,,,,,2.6595899093206685,2.073982194315072,5.836327113338254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,208.0,5.0,29.0,963.0,0.0,29.406000000000013,0.0,0.0,108.46665120124817,,,,,,,,,,,,,,,,,,,,,2.9741391704419753,1.9394893456850626,5.376291428071288,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,231.0,6.0,23.0,986.0,0.0,15.107999999999993,0.0,0.0,110.53448295593262,,,,,,,,,,,,,,,,,,,,,1.715911453662971,1.614973637672145,4.668872813893568,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,303.0,7.0,72.0,1058.0,0.0,101.40800000000002,0.0,0.0,115.70475769042969,,,,,,,,,,,,,,,,,,,,,4.509539691355632,1.9325624072319545,6.450641154961609,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,329.0,8.0,26.0,1084.0,0.0,24.508000000000017,0.0,0.0,117.97405290603638,,,,,,,,,,,,,,,,,,,,,2.623986376181766,2.2548789250973416,5.795111477643568,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,359.0,9.0,30.0,1114.0,0.0,33.50599999999999,0.0,0.0,120.24687933921814,,,,,,,,,,,,,,,,,,,,,3.305492641538049,2.054585518664232,6.06858070036467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,381.0,10.0,22.0,1136.0,0.0,21.807000000000013,0.0,0.0,122.0352578163147,,,,,,,,,,,,,,,,,,,,,2.6917459333422347,2.2208014018440534,5.797487879805273,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,437.0,11.0,56.0,1192.0,0.0,74.90800000000002,0.0,0.0,126.22012948989868,,,,,,,,,,,,,,,,,,,,,4.219183574288036,2.0246095983864847,6.169162648733809,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,467.0,12.0,30.0,1222.0,0.0,25.61000000000002,0.0,0.0,128.5382580757141,,,,,,,,,,,,,,,,,,,,,2.3544764799606286,2.159052398268218,6.313873829077633,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,508.0,13.0,41.0,1263.0,0.0,40.108999999999995,0.0,0.0,131.66289925575256,,,,,,,,,,,,,,,,,,,,,2.943867633352319,2.0547373332323744,5.857412246606084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,580.0,14.0,72.0,1335.0,0.0,85.30800000000002,0.0,0.0,136.7921690940857,,,,,,,,,,,,,,,,,,,,,3.772932786124854,1.7176013830482382,6.199770671260537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,657.0,15.0,77.0,1412.0,0.0,92.00800000000001,0.0,0.0,142.7118227481842,,,,,,,,,,,,,,,,,,,,,3.810277058765397,1.6665008387769527,5.947502426053674,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,0.0,0.0,0.0,0.0,46.0,1458.0,0.0,49.51199999999998,0.0,0.0,177.0876908302307,,,,,,,,,0.27618077,0.074933335,0.41152066,0.18337934,,,,,6.2035894,3.6855674,14.31458,0.9028247,3.300487058497113,2.3635814998234173,5.949548148448672,0.001,2.159523,0.0,2.159523,2.159523,-4.800964430811488e-17,1.0,4.972594314387831,-2.505433198339611,2.9428432,1.8675604,5.535181,0.12396787,0.33809322,0.055121776,0.4285284,0.2759428,-0.040306255,0.021563238,0.004728944,-0.07096823,3.3384655077795258,2.0412230014065353,6.246736230836301,0.0009999999999998899,0.018677978,0.0,0.018677978,0.018677978,0.99735785,0.18628591,1.6644855,0.5630449,0.9902088,0.15568401,1.2,0.8
33,2.0,0.0,0.0,49.0,1.0,49.0,1507.0,0.0,65.00700000000003,0.0,0.0,184.91403985023499,,,,,,,,,,,,,,,,,,,,,4.165205737490134,2.1116198325583264,6.175802446854925,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.0,0.0,0.0,146.0,2.0,97.0,1604.0,0.0,123.30799999999991,0.0,0.0,191.81282901763916,,,,,,,,,,,,,,,,,,,,,4.104979013788804,1.804850127849272,6.406856699551135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.0,0.0,0.0,170.0,3.0,24.0,1628.0,0.0,25.907000000000014,0.0,0.0,193.77994060516357,,,,,,,,,,,,,,,,,,,,,2.97799383272773,2.414952574468035,6.379206291943348,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,0.0,0.0,198.0,4.0,28.0,1656.0,0.0,30.906000000000013,0.0,0.0,196.00322079658508,,,,,,,,,,,,,,,,,,,,,3.2164784707733607,2.132331455676667,5.651901869704845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.0,0.0,0.0,277.0,5.0,79.0,1735.0,0.0,81.31400000000001,0.0,0.0,201.87113547325134,,,,,,,,,,,,,,,,,,,,,3.26606523166868,1.7760205746141793,6.190244925516792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.0,0.0,0.0,315.0,6.0,38.0,1773.0,0.0,39.70999999999999,0.0,0.0,204.69651556015015,,,,,,,,,,,,,,,,,,,,,3.120765808145175,2.363545213264106,6.387345299535078,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.0,0.0,0.0,343.0,7.0,28.0,1801.0,0.0,25.70700000000002,0.0,0.0,206.98339819908142,,,,,,,,,,,,,,,,,,,,,2.5988924183194837,1.9087251316717475,5.537576694451906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,0.0,0.0,362.0,8.0,19.0,1820.0,0.0,19.30600000000001,0.0,0.0,208.55517482757568,,,,,,,,,,,,,,,,,,,,,2.711029214988171,2.2840845207540967,6.029543657630966,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,396.0,9.0,34.0,1854.0,0.0,41.807999999999986,0.0,0.0,211.39108300209045,,,,,,,,,,,,,,,,,,,,,3.704463842802852,2.3504942887657143,6.109265501442963,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,427.0,10.0,31.0,1885.0,0.0,39.30599999999999,0.0,0.0,213.7700719833374,,,,,,,,,,,,,,,,,,,,,3.8151856633320005,2.2839137057248333,6.352658604799645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,460.0,11.0,33.0,1918.0,0.0,41.80599999999999,0.0,0.0,216.28244638442993,,,,,,,,,,,,,,,,,,,,,3.842643995079928,2.1949653701196175,6.12896332322102,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,554.0,12.0,94.0,2012.0,0.0,29.4710000000001,0.0,0.0,222.97749185562134,,,,,,,,,,,,,,,,,,,,,0.9004501202958372,1.7512169048526884,5.950881331351032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,577.0,13.0,23.0,2035.0,0.0,22.906000000000013,0.0,0.0,224.7497284412384,,,,,,,,,,,,,,,,,,,,,2.802330809187241,2.0963504800173767,5.416001764788672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
